id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,feridos,ilesos,ignorados,veiculos,latitude,longitude,regional,delegacia,uop
757974,13/03/2026,sexta-feira,06:00:00,CE,222.0,22,CAUCAIA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,4.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,"-3,73186154","-38,7599916",SPRF-CE,DEL01/CE,UOP01-DEL01-CE
757976,13/03/2026,sexta-feira,07:04:00,CE,116.0,"14,5",FORTALEZA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,"-3,874257","-38,499194",SPRF-CE,DEL01/CE,UOP02-DEL01-CE
757978,13/03/2026,sexta-feira,06:00:00,TO,235.0,190,FORTALEZA DO TABOCAO,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Amanhecer,Crescente,Nublado,Simples,Reta,Não,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,"-8,975312","-48,385512",SPRF-TO,DEL02-TO,UOP02-DEL02-TO
757979,13/03/2026,sexta-feira,06:00:00,MS,262.0,160,RIBAS DO RIO PARDO,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Amanhecer,Crescente,Nevoeiro/Neblina,Simples,Reta,Não,4.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,"-20,41086307","-53,19373481",SPRF-MS,DEL07/MS,UOP02-DEL07-MS
757981,13/03/2026,sexta-feira,05:20:00,GO,20.0,140,ALVORADA DO NORTE,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"-14,756992","-46,666995",SPRF-DF,DEL02-DF,UOP03-DEL02-DF
757982,13/03/2026,sexta-feira,07:45:00,ES,101.0,290,CARIACICA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Interseção de Vias,Não,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,"-20,29404266","-40,39303684",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
757985,13/03/2026,sexta-feira,07:40:00,SC,101.0,139,BALNEARIO CAMBORIU,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Aclive,Sim,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,"-27,03324582","-48,60049948",SPRF-SC,DEL04/SC,UOP03-DEL04-SC
757987,12/03/2026,quinta-feira,13:50:00,MT,163.0,"582,5",NOVA MUTUM,Carga excessiva e/ou mal acondicionada,Incêndio,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Não,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,"-13,962797","-56,098243",SPRF-MT,DEL01/MT,UOP01-DEL01-MT
757990,13/03/2026,sexta-feira,07:00:00,MT,163.0,"83,3",RONDONOPOLIS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Reta,Não,4.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,"-16,729455","-54,644616",SPRF-MT,DEL02/MT,UOP03-DEL02-MT
757994,03/03/2026,terça-feira,01:30:00,MT,163.0,827,SINOP,Frear bruscamente,Tombamento,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Não,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,"-11,929942","-55,513248",SPRF-MT,DEL06/MT,UOP02-DEL06-MT
